wavelength (nm),29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023
516,404,351,1.165,861,1.376,3.737,3.85,2.325,31.666,6.687
516.5,401,334,1.139,835,1.302,3.701,3.781,2.2,31.556,6.671
517,0.37,316,1.117,863,1.312,3.784,3.792,2.15,31.536,6.732
517.5,386,328,1.095,868,1.325,3.896,3.837,2.215,31.546,6.81
518,396,337,1.073,859,1.294,4.011,3.865,2.29,31.55,6.828
518.5,0.38,334,01.07,924,1.33,4.126,3.943,2.471,31.593,6.871
519,398,343,1.052,916,1.328,4.139,3.999,2.648,31.617,6.9
519.5,358,312,1.084,918,1.361,4.185,4.047,2.822,31.638,6.906
520,358,345,1.067,869,1.334,4.127,3.98,2.762,31.59,6.86
520.5,362,0.35,1.008,816,1.245,3.934,3.829,2.592,31.499,6.778
521,358,365,958,0.76,1.176,3.747,3.694,2.388,31.439,6.713
521.5,348,352,962,747,1.148,3.631,3.634,2.26,31.47,6.737
522,307,371,955,765,1.149,3.664,3.663,2.202,31.474,6.802
522.5,285,0.36,959,0.77,1.134,3.69,3.685,2.197,31.445,6.822
523,223,362,977,798,1.16,3.725,3.646,2.167,31.385,6.776
523.5,208,324,0.98,844,1.178,3.662,3.517,2.044,31.311,6.655
524,221,309,915,792,1.122,3.382,3.25,1.772,31.171,6.457
524.5,224,271,911,758,1.126,3.198,03.06,1.572,31.076,6.272
525,237,274,879,729,1.082,3.104,2.929,1.471,31.014,6.153
525.5,263,298,828,689,01.01,2.951,2.843,1.384,30.96,6.037
526,328,328,821,657,981,2.825,2.802,1.347,30.956,5.977
526.5,348,335,857,0.67,0.97,2.8,2.825,1.399,30.986,5.963
527,363,0.39,861,673,942,2.809,2.865,1.449,30.95,6
527.5,403,476,835,611,903,2.798,2.878,1.465,30.892,5.99
528,392,0.51,867,637,934,2.813,2.915,1.579,30.875,6.035
528.5,415,517,898,676,962,2.851,3.003,1.704,30.902,6.137
529,0.39,0.49,878,659,968,2.825,3.041,1.759,30.964,6.254
529.5,355,458,868,654,956,2.859,3.089,1.801,31.087,6.391
530,337,425,842,603,915,2.858,3.093,1.866,31.222,6.507
530.5,313,367,806,541,887,2.767,3.035,1.842,31.283,6.529
531,274,284,786,507,873,2.691,2.975,1.798,31.327,6.495
531.5,243,256,787,519,896,2.737,2.987,1.762,31.395,6.464
532,331,302,776,518,884,2.741,2.957,1.716,31.442,6.475
532.5,0.39,397,0.75,519,874,2.796,2.989,1.718,31.498,6.509
533,412,424,0.77,592,913,2.936,3.089,1.829,31.567,6.59
533.5,494,461,769,612,946,03.08,3.2,1.92,31.625,6.694
534,495,473,747,579,948,3.149,3.266,1.918,31.665,6.765
534.5,501,516,706,514,897,3.123,3.203,1.803,31.592,6.748
535,525,521,682,443,846,3.107,3.109,1.703,31.474,6.693
535.5,455,443,664,381,803,3.052,2.958,1.557,31.343,6.564
536,401,358,668,407,803,3.033,2.86,1.444,31.196,6.444
536.5,386,326,729,471,861,3.015,2.817,1.411,31.167,6.398
537,435,321,779,558,926,2.987,2.828,1.425,31.236,6.429
537.5,395,292,849,691,991,3.035,2.943,1.533,31.352,6.518
538,355,269,0.9,773,1.056,3.098,3.034,1.646,31.47,6.583
538.5,369,308,895,787,1.119,3.128,3.078,1.666,31.542,6.605
539,372,363,871,776,1.105,3.079,3.064,1.606,31.539,6.53
539.5,377,412,824,737,1.084,3.023,3.021,1.566,31.461,6.455
540,0.38,462,812,709,1.083,3.076,3.014,1.604,31.409,6.447
540.5,385,504,775,609,1.015,3.015,2.934,1.528,31.291,6.378
541,391,509,771,593,1.021,3.019,2.942,1.602,31.155,6.401
541.5,416,0.5,834,617,1.068,3.018,3,1.778,31.084,6.455
542,417,442,875,665,1.117,3.066,3.1,1.906,31.066,6.528
542.5,407,415,0.89,685,1.101,2.993,3.073,1.932,31.022,6.52
543,433,458,892,673,1.076,2.993,3.087,2.021,30.995,6.537
543.5,412,485,901,0.68,1.086,2.991,3.1,2.045,31.023,6.572
544,356,468,892,678,1.054,3.021,3.166,2.043,31.074,6.574
544.5,289,405,878,693,1.048,3.146,3.263,2.113,31.16,6.629
545,232,321,0.86,0.68,1.043,3.296,3.388,2.184,31.26,6.754
545.5,243,273,843,626,1.026,3.361,3.381,2.103,31.295,6.776
546,249,228,848,631,1.028,3.409,3.386,2.079,31.295,6.783
546.5,265,175,827,616,1.023,3.438,3.424,02.03,31.241,6.75
547,236,135,782,579,999,3.466,3.348,1.954,31.191,6.641
547.5,195,131,0.7,536,911,3.237,3.099,1.706,31.076,6.42
548,222,0.2,629,476,839,2.971,2.879,1.486,30.998,6.282
548.5,188,186,629,473,853,2.758,2.713,1.392,30.994,6.198
549,173,147,649,508,894,2.688,2.719,1.415,31.018,6.164
549.5,162,123,668,576,963,2.715,2.771,1.514,31.088,6.211
550,159,65,701,633,1.045,2.827,2.852,1.678,31.217,6.359
550.5,251,97,768,697,1.157,2.934,2.906,1.842,31.379,6.519
551,0.27,153,838,744,1.202,3.054,2.977,1.939,31.52,6.682
551.5,319,195,877,757,1.221,3.198,3.108,1.983,31.603,6.846
552,261,165,862,752,1.204,3.424,3.217,2.143,31.73,6.983
552.5,169,76,831,759,1.163,3.465,3.241,2.143,31.819,7.078
553,188,109,759,671,1.053,3.318,3.131,2.032,31.796,7.036
553.5,185,103,695,586,954,3.072,2.965,1.838,31.684,6.933
554,225,118,626,549,847,2.892,2.778,1.61,31.501,6.794
554.5,259,175,595,505,789,2.695,2.573,1.336,31.365,6.707
555,289,172,619,543,817,2.642,2.46,1.254,31.303,6.661
555.5,322,142,688,587,894,2.568,2.424,1.166,31.255,6.637
556,317,205,744,604,902,2.538,2.36,993,31.189,6.561
556.5,0.34,203,803,673,966,2.614,2.383,972,31.108,6.526
557,298,173,0.85,732,1.032,2.681,2.423,1.055,31.119,6.517
557.5,261,143,875,754,1.069,2.658,2.415,1.069,31.102,6.455
558,255,163,838,692,1.035,2.517,2.283,1.007,31,6.268
558.5,0.19,173,784,637,992,2.367,2.212,907,30.893,6.143
559,186,225,751,593,925,2.314,2.109,873,30.833,06.04
559.5,227,252,0.73,546,881,2.182,1.989,795,30.775,6.012
560,273,227,708,557,885,2.093,1.919,758,30.744,6.007
560.5,297,186,732,542,916,1.972,1.81,637,30.753,5.998
561,339,216,715,548,938,1.932,1.731,494,30.723,6.016
561.5,344,208,0.67,561,958,1.933,1.589,0.43,30.665,6.012
562,362,215,662,602,966,1.905,1.486,385,30.688,6.003
562.5,0.33,219,0.65,625,987,1.945,1.472,361,30.705,6
563,0.23,145,656,651,1.025,2.035,1.605,489,30.762,6.035
563.5,166,81,0.67,705,1.049,2.28,1.931,766,30.86,6.1
564,121,88,691,702,1.024,2.49,2.185,1.008,30.923,6.079
564.5,61,0.04,676,717,1.013,2.595,2.301,1.095,30.876,6.065
565,55,32,672,688,994,2.61,2.349,1.108,30.788,5.999
565.5,28,35,719,664,01.02,2.609,2.373,1.168,30.747,5.939
566,15,24,0.78,708,1.097,2.719,2.504,1.307,30.79,6.005
566.5,-22,-7,877,797,1.198,2.897,2.639,1.514,30.924,6.115
567,-49,-38,959,927,1.284,3.091,2.83,1.713,31.097,6.244
567.5,-46,-51,1.006,989,1.376,3.28,2.996,1.814,31.224,6.393
568,-49,-101,1.037,1.046,1.426,3.416,3.179,02.01,31.379,6.525
568.5,-22,-121,1.005,1.067,1.392,3.455,3.287,2.159,31.489,6.608
569,1,-47,0.96,988,1.332,3.458,3.258,2.128,31.475,6.678
569.5,14,0.01,892,0.92,1.268,3.311,3.072,1.889,31.307,6.687
570,75,99,762,754,1.107,3.011,2.723,1.539,31.05,6.583
570.5,135,193,678,634,989,2.722,2.49,1.334,30.899,6.514
571,193,218,642,576,937,2.61,2.325,1.257,30.852,6.506
571.5,0.2,237,641,554,956,2.567,2.343,1.276,30.856,6.504
572,163,224,634,573,0.95,2.569,2.417,1.296,30.864,6.5
572.5,0.18,236,613,574,953,2.53,2.458,1.32,30.899,6.468
573,179,231,595,559,905,2.476,2.501,1.4,30.963,6.429
573.5,217,239,544,523,0.83,2.38,2.48,1.477,31.044,6.437
574,277,289,554,489,0.83,2.408,2.486,1.427,31.036,6.487
574.5,271,281,0.61,506,861,2.42,2.421,1.281,30.965,6.478
575,294,317,588,501,809,2.348,2.251,1.102,30.869,6.427
575.5,318,309,0.58,467,759,2.271,2.113,1.011,30.842,6.367
576,0.36,341,558,439,723,2.196,1.878,828,30.766,6.243
576.5,369,394,503,378,0.69,2.059,1.77,636,30.732,6.065
577,338,439,474,356,666,1.931,1.671,0.53,30.769,5.897
577.5,349,492,477,396,696,1.901,1.676,574,30.871,5.836
578,308,0.44,506,428,755,1.998,1.843,0.7,31.01,5.877
578.5,351,413,486,442,0.81,2.049,1.876,749,31.096,5.922
579,391,0.39,482,467,0.88,2.185,1.935,796,31.137,5.994
579.5,346,293,484,0.45,872,2.18,1.918,767,31.164,6.036
580,345,203,462,418,818,2.127,1.915,756,31.133,6.109
580.5,309,85,0.47,371,766,2.074,1.81,787,31.074,6.176
581,269,28,464,377,0.7,1.981,1.682,686,31.024,6.186
581.5,194,-3,432,332,625,1.866,1.606,613,31.008,6.174
582,166,31,0.39,305,575,1.77,1.493,565,30.957,6.134
582.5,138,52,373,335,594,1.774,1.464,555,30.984,6.145
583,87,49,0.37,365,612,1.883,1.605,679,31.046,6.191
583.5,43,105,361,358,622,1.938,1.629,691,31.088,6.193
584,16,0.13,325,334,623,1.977,1.619,706,31.085,6.21
584.5,-7,92,264,0.24,505,1.775,1.41,493,30.991,6.108
585,-2,32,226,163,413,1.519,1.203,0.21,30.797,5.944
585.5,-33,-34,235,119,0.38,1.242,942,15,30.599,5.812
586,-25,-0.1,244,165,388,1.033,719,-211,30.53,5.691
586.5,-2,-0.09,249,156,363,916,629,-284,30.527,5.633
587,83,-41,283,199,407,862,555,-302,30.55,5.62
587.5,191,17,292,232,469,0.88,559,-278,30.631,5.604
588,289,136,301,278,532,1.039,0.8,-72,30.708,5.667
588.5,0.26,199,373,358,672,1.339,1.128,185,30.816,5.76
589,249,0.23,405,418,783,1.568,1.379,414,30.835,5.829
589.5,279,255,428,426,824,1.734,1.499,0.48,30.789,5.852
590,294,293,387,389,783,1.714,1.503,372,30.65,5.785
590.5,272,268,357,359,768,1.679,1.509,351,30.559,5.768
591,0.26,184,316,347,736,1.665,1.44,253,30.481,5.722
591.5,221,168,318,288,625,1.677,1.393,264,30.472,5.698
592,167,98,353,278,593,1.729,1.374,266,30.486,5.715
592.5,0.22,0.14,287,224,522,1.681,1.389,215,30.4,5.659
593,278,0.23,253,195,515,1.758,1.476,322,30.418,5.706
593.5,288,316,192,145,456,1.768,1.521,0.36,30.471,5.741
594,324,412,127,119,431,1.734,1.549,436,30.588,5.767
594.5,412,523,66,99,395,1.686,1.504,409,30.774,5.853
595,459,582,6,56,347,1.572,1.475,0.37,30.912,5.912
595.5,494,607,-38,29,324,1.512,1.481,432,31.04,5.941
596,458,516,-16,41,353,1.551,1.545,497,31.056,5.988
596.5,321,338,105,141,451,1.645,1.607,675,31.102,6.089
597,184,155,243,239,568,1.82,1.809,0.83,31.153,6.229
597.5,162,105,0.32,316,652,2.036,2.029,1.042,31.221,6.333
598,0.23,111,388,359,695,2.265,2.242,1.247,31.315,6.429
598.5,263,114,398,407,737,2.484,2.402,1.431,31.386,6.495
599,295,0.13,396,461,789,2.699,2.569,1.594,31.498,6.498
599.5,328,108,355,459,787,2.692,2.606,1.597,31.504,6.481
600,332,122,329,423,774,2.602,2.595,1.488,31.38,6.413
600.5,301,0.06,324,434,775,2.439,2.484,1.345,31.274,6.362
601,212,-3,339,473,819,2.266,2.309,1.146,31.129,6.287
601.5,76,-108,403,559,908,2.033,2.099,0.94,30.988,6.254
602,22,-121,455,581,926,1.814,1.887,723,30.881,6.158
602.5,92,-21,428,542,884,1.585,1.614,468,30.797,6.008
603,244,88,386,451,784,1.351,1.311,219,30.651,5.81
603.5,331,165,356,393,713,1.278,1.131,79,30.453,5.598
604,399,0.25,316,344,661,1.303,1.115,49,30.344,5.469
604.5,453,283,267,264,0.59,1.273,1.155,0,30.217,5.433
605,363,197,267,274,615,1.397,1.234,91,30.211,5.543
605.5,237,96,313,0.3,633,1.494,1.264,156,30.323,5.712
606,137,0.1,355,369,675,1.585,1.335,265,30.446,5.836
606.5,43,53,381,0.44,755,1.681,1.493,415,30.587,5.991
607,-32,12,416,481,804,1.779,1.637,592,30.745,6.126
607.5,-21,79,0.35,423,728,1.715,1.525,549,30.741,6.118
608,1,123,291,316,586,1.526,1.283,409,30.621,6.037
608.5,3,116,198,234,451,1.348,1.056,231,30.47,5.932
609,-0.01,0.06,139,214,414,1.213,1.032,206,30.385,5.938
609.5,23,-0.04,151,231,421,1.208,01.06,233,30.385,5.976
610,-68,-189,225,345,572,1.423,1.241,435,30.478,6.116
610.5,-72,-213,308,422,691,1.648,1.415,624,30.634,6.233
611,-18,-128,396,548,822,1.896,1.659,852,30.788,6.343
611.5,3,-108,472,649,969,2.044,1.879,958,30.929,6.43
612,-41,-79,536,681,1.079,2.18,2.032,1.038,31.058,6.524
612.5,-8,-16,576,686,1.027,2.081,1.96,882,30.988,6.415
613,0.08,119,527,573,0.86,1.711,1.548,495,30.741,6.21
613.5,193,209,436,479,714,1.321,1.212,145,30.575,6.032
614,252,0.26,436,446,0.65,1.098,1.045,23,30.458,5.955
614.5,273,234,0.38,393,586,965,895,-161,30.389,5.874
615,284,255,0.29,358,573,1.008,929,-0.16,30.404,5.878
615.5,335,315,225,278,572,1.148,1.015,-102,30.427,5.871
616,338,319,192,252,569,1.358,1.135,68,30.497,5.85
616.5,298,272,168,243,617,1.579,1.253,151,30.593,5.849
617,0.25,253,159,249,654,1.718,1.349,0.28,30.714,5.881
617.5,227,216,196,0.26,617,1.745,1.397,367,30.79,5.828
618,247,262,186,253,563,1.628,1.325,0.33,30.76,5.762
618.5,221,259,212,263,528,1.535,1.333,318,30.811,5.765
619,182,176,269,288,0.51,1.553,1.362,348,30.832,5.796
619.5,129,132,212,202,406,1.348,1.182,161,30.823,5.782
620,78,127,135,84,302,1.236,1.081,13,30.824,5.784
620.5,112,154,58,-39,204,1.147,956,-197,30.74,5.756
621,114,0.11,-46,-0.11,133,1.057,796,-332,30.649,5.7
621.5,153,134,-84,-97,155,1.17,783,-349,30.666,5.708
622,234,234,-145,-0.12,166,1.181,758,-391,30.675,5.67
622.5,0.27,323,-159,-136,0.18,1.173,749,-387,30.681,5.625
623,279,396,-127,-0.04,251,1.262,895,-309,30.748,5.672
623.5,247,356,-28,58,328,1.509,1.118,-63,30.875,5.798
624,201,271,137,231,479,1.77,1.479,397,31.014,06.07
624.5,141,255,255,368,0.64,1.968,1.746,821,31.212,6.294
625,-17,65,406,564,852,2.186,2.042,1.165,31.429,6.541
625.5,-99,-97,503,696,1.001,2.28,2.228,1.386,31.512,6.704
626,-183,-286,543,786,01.09,2.253,2.219,1.429,31.538,6.695
626.5,-0.14,-315,542,765,1.093,2.195,2.135,1.325,31.436,6.639
627,-85,-252,529,686,1.052,2.092,2.038,1.165,31.296,6.534
627.5,-38,-218,493,0.6,974,1.998,1.835,964,31.121,6.362
628,7,-197,452,525,905,2.007,1.729,0.74,31.004,6.275
628.5,66,-222,425,451,808,2.007,1.676,651,30.89,6.186
629,131,-171,389,474,786,1.961,1.775,773,30.823,6.232
629.5,248,5,273,426,711,1.95,1.806,811,30.798,6.2
630,224,-19,0.25,411,701,1.961,1.789,737,30.793,6.139
630.5,224,-2,243,321,0.64,1.928,1.705,569,30.755,6
631,295,65,142,196,0.48,1.68,1.407,173,30.682,5.783
631.5,287,128,79,84,0.37,1.42,1.096,-131,30.572,5.659
632,0.33,233,42,-14,283,1.101,759,-0.36,30.429,5.584
632.5,215,173,32,-13,261,958,547,-475,30.362,5.544
633,0.11,49,0.06,42,309,839,388,-569,30.319,5.536
633.5,26,-39,99,109,367,719,278,-0.54,30.233,5.515
634,75,-2,72,188,372,612,235,-425,30.199,5.558
634.5,159,101,-37,173,306,567,243,-0.4,30.194,5.531
635,156,139,-109,101,271,657,282,-361,30.19,5.464
635.5,0.18,175,-152,-5,234,755,391,-421,30.199,5.377
636,259,239,-208,-53,204,734,329,-0.58,30.247,5.34
636.5,0.23,144,-176,-0.06,191,706,284,-681,30.31,5.367
637,235,103,-144,-72,0.17,759,293,-711,30.402,5.436
637.5,183,73,-0.09,-79,163,842,414,-619,30.542,5.511
638,148,22,-43,-0.08,181,888,496,-639,30.638,5.59
638.5,163,41,15,-76,203,857,431,-712,30.65,5.604
639,186,0.02,41,-9,258,859,515,-649,30.666,5.671
639.5,0.13,23,24,-1,318,837,634,-622,30.615,5.677
640,83,23,-15,-29,379,904,0.76,-562,30.531,5.744
640.5,146,93,-17,-18,476,981,884,-411,30.455,5.831
641,239,143,-6,52,551,1.013,861,-342,30.355,5.837
641.5,279,0.16,69,129,587,1.087,851,-395,30.311,5.866
642,298,168,157,251,607,1.139,0.82,-227,30.427,5.871
642.5,323,276,187,252,605,1.189,837,-87,30.551,5.847
643,313,331,163,228,543,1.191,786,-65,30.695,5.9
643.5,0.36,337,161,203,451,1.205,755,-53,30.778,5.929
644,351,262,179,0.24,433,1.392,989,156,30.956,5.996
644.5,234,233,97,197,419,1.48,1.199,223,31.004,6.018
645,138,62,38,0.18,379,1.682,1.362,304,31.019,6.044
645.5,61,-0.09,3,196,392,1.813,1.488,342,30.89,5.99
646,29,-237,0,199,441,1.865,1.513,297,30.718,5.825
646.5,-77,-361,29,243,463,1.738,1.391,69,30.461,5.575
647,-266,-525,162,376,581,1.55,1.275,46,30.319,5.369
647.5,-411,-602,267,0.47,702,1.454,1.237,-2,30.299,5.283
648,-401,-605,311,507,698,1.314,1.138,28,30.383,5.364
648.5,-324,-522,0.38,519,651,1.296,1.201,174,30.508,5.573
649,-145,-382,374,468,654,1.332,1.298,409,30.681,5.838
649.5,-93,-0.27,319,423,631,1.321,1.38,505,30.856,6.059
650,-55,-267,284,303,517,1.267,1.232,342,30.924,6.18
650.5,36,-213,226,214,386,1.143,1.052,54,30.867,6.141
651,227,12,123,12,217,923,733,-356,30.817,6
651.5,257,91,63,-94,113,722,486,-656,30.783,5.798
652,0.21,167,33,-123,142,0.67,423,-735,30.778,5.654
652.5,0.21,228,46,-31,202,0.63,517,-703,30.881,5.682
653,228,195,73,-17,246,738,607,-421,31.045,5.837
653.5,122,55,128,106,372,966,874,-85,31.185,6.053
654,0.08,-16,174,176,547,1.15,1.107,315,31.232,6.272
654.5,-93,-109,195,267,701,1.359,1.355,604,31.359,6.366
655,-134,-179,169,275,749,1.324,1.361,563,31.342,6.288
655.5,-118,-235,156,0.31,721,1.27,1.283,506,31.339,6.179
656,-12,-119,27,0.2,604,1.137,1.104,372,31.294,6.083
656.5,59,-31,-26,136,523,1.048,1.054,212,31.27,5.991
657,119,34,-69,105,0.49,1.045,996,151,31.141,5.95
657.5,0.16,82,-18,142,428,944,897,51,30.93,5.881
658,135,37,64,169,387,924,777,-17,30.743,5.825
658.5,66,-18,97,245,395,945,777,-103,30.589,5.762
659,42,-14,169,293,0.44,1.097,881,-36,30.502,5.764
659.5,-54,-0.01,246,333,537,1.299,01.03,72,30.55,5.773
660,-101,-17,343,425,653,1.47,1.215,197,30.703,5.83
660.5,-24,19,413,408,746,1.591,1.381,425,30.917,5.965
661,91,122,354,376,736,1.661,1.458,593,31.055,6.069
661.5,155,171,277,329,701,1.739,1.583,653,31.098,6.137
662,151,124,185,278,653,1.685,1.528,0.6,30.982,6.122
662.5,174,108,123,228,583,1.662,1.456,542,30.747,6.027
663,271,136,-27,134,448,1.602,1.359,405,30.51,5.831
663.5,237,51,-93,142,465,1.71,1.405,403,30.399,5.742
664,0.25,-45,-132,155,488,1.894,1.481,319,30.355,5.685
664.5,155,-99,-63,0.23,556,2.069,1.637,424,30.383,5.733
665,126,-76,103,361,671,2.252,1.929,653,30.48,5.946
665.5,209,-28,257,442,851,2.376,2.089,781,30.632,6.119
666,213,-25,356,572,906,2.396,2.088,825,30.712,6.22
666.5,214,14,405,702,966,2.321,2.013,814,30.803,6.284
667,146,0.05,369,0.69,923,2.034,1.714,539,30.759,6.223
667.5,136,108,326,602,827,1.812,1.472,412,30.74,6.114
668,152,151,317,454,703,1.73,1.243,385,30.825,5.971
668.5,53,0.09,299,438,704,1.616,1.173,416,30.975,5.833
669,107,127,0.2,356,552,1.408,1.108,291,31.063,5.665
669.5,0.08,132,116,259,436,1.369,1.108,315,31.12,5.645
670,96,138,86,252,0.37,1.336,1.168,415,31.112,5.757
670.5,36,13,73,291,445,1.407,1.247,452,31.081,5.874
671,-26,-93,0.1,294,0.47,1.527,1.367,469,30.924,5.996
671.5,-35,-156,149,321,535,1.49,1.223,337,30.743,6
672,-145,-174,137,309,551,1.349,985,106,30.489,5.935
672.5,-195,-202,0.19,274,589,1.126,756,27,30.33,5.816
673,-0.25,-214,0.29,245,604,944,586,-0.06,30.285,5.742
673.5,-272,-0.24,0.38,0.31,608,704,538,-117,30.397,5.673
674,-187,-148,346,247,501,415,413,-305,30.5,5.615
674.5,-177,-72,269,143,408,358,326,-433,30.678,5.589
675,-131,-1,152,106,301,441,348,-421,30.778,5.626
675.5,-127,23,86,62,293,585,577,-291,30.9,5.724
676,-75,0.05,102,94,295,887,932,-46,30.956,5.784
676.5,-41,54,179,211,394,1.213,1.178,0.22,30.992,5.8
677,23,77,152,295,484,1.512,1.434,458,30.976,5.76
677.5,99,84,159,328,553,1.617,1.513,629,30.972,5.789
678,121,61,155,262,503,1.647,1.495,627,31.043,5.878
678.5,127,1,192,298,512,1.613,1.439,635,31.191,6.006
679,147,-49,153,279,499,1.501,1.305,0.57,31.278,6.116
679.5,112,-29,115,0.19,488,1.399,1.266,543,31.369,6.248
680,107,-0.05,25,119,419,1.234,1.113,449,31.332,6.319
680.5,79,-5,-0.04,7,363,957,934,353,31.178,6.324
681,167,3,-72,-32,261,776,823,241,30.964,6.168
681.5,216,93,-93,-34,226,592,0.66,88,30.704,5.968
682,251,119,-88,-56,232,479,497,-138,30.484,5.741
682.5,302,0.18,-166,-238,128,89,13,-703,30.195,5.46
683,274,174,-237,-385,-41,-328,-513,-1.294,30.021,5.218
683.5,277,0.14,-197,-388,-39,-495,-756,-1.677,29.969,5.162
684,207,23,-0.12,-252,73,-489,-802,-1.779,30.048,5.179
684.5,165,26,-86,-145,207,-379,-701,-1.668,30.153,5.275
685,258,43,-88,-0.07,226,-197,-0.61,-1.464,30.219,5.394
685.5,261,48,-119,-47,238,53,-424,-1.165,30.28,5.47
686,0.38,59,-129,-32,0.26,0.28,-172,-806,30.357,5.497
686.5,426,129,-133,-0.01,269,471,67,-442,30.389,5.528
687,439,93,-86,58,344,594,274,-166,30.506,5.539
687.5,517,92,-161,-88,249,386,192,-251,30.509,5.43
688,609,112,-233,-227,67,96,121,-396,30.614,5.426
688.5,706,171,-203,-309,56,66,259,-414,30.779,5.56
689,751,242,-169,-249,112,178,414,-433,31.033,5.673
689.5,0.68,233,-43,-114,227,509,622,-0.29,31.337,5.902
690,0.64,304,-22,-39,268,0.79,707,-201,31.474,6.094
690.5,482,264,-0.01,86,311,991,783,-114,31.51,6.166
691,336,166,-13,121,356,1.059,735,-116,31.439,6.111
691.5,209,104,-33,94,328,862,0.53,-247,31.264,5.969
692,154,3,-129,-5,239,444,115,-535,31.051,5.681
692.5,152,-41,-301,-219,31,-67,-318,-915,30.777,5.379
693,213,-5,-414,-371,-107,-461,-548,-1.192,30.559,5.229
693.5,258,103,-504,-554,-255,-815,-769,-1.479,30.245,5.127
694,308,175,-518,-0.6,-342,-846,-0.88,-1.765,30.012,5.132
694.5,216,185,-416,-0.57,-322,-656,-858,-1.763,29.921,5.262
695,188,269,-0.35,-507,-272,-347,-723,-1.686,29.791,5.409
695.5,159,289,-228,-328,-203,-31,-0.53,-1.587,29.723,5.45
696,183,0.3,-165,-305,-138,158,-352,-1.417,29.797,5.407
696.5,134,318,-89,-0.22,-74,238,-0.17,-1.268,29.982,5.333
697,245,371,-101,-234,-75,0.21,-0.07,-1.114,30.204,5.202
697.5,319,425,-147,-277,-111,257,0.03,-892,30.519,5.147
698,362,428,-128,-0.25,-16,352,198,-0.67,30.767,5.193
698.5,321,0.38,-134,-238,33,334,204,-612,30.811,5.243
699,301,0.27,-168,-242,75,401,179,-596,30.861,5.388
699.5,293,289,-227,-278,51,413,0.15,-618,30.872,5.536
700,238,239,-0.24,-268,83,661,283,-495,30.912,5.722
700.5,244,147,-219,-164,92,738,315,-529,30.851,5.769
701,97,-22,-98,-15,215,969,506,-387,30.876,5.748
701.5,-82,-185,45,185,0.37,1.102,647,-323,30.909,5.676
702,-233,-381,0.16,293,476,1.131,0.66,-251,30.925,5.563
702.5,-293,-553,254,347,521,1.162,583,-0.29,30.998,5.56
703,-304,-522,258,289,504,995,379,-438,31.042,5.516
703.5,-277,-487,253,0.28,542,917,345,-478,31.194,5.618
704,-148,-396,187,235,559,895,351,-458,31.377,5.785
704.5,-71,-0.3,105,163,524,904,535,-311,31.489,6.026
705,-102,-298,59,141,496,996,756,-1,31.563,6.217
705.5,-61,-276,0.09,195,464,1.004,938,0.19,31.468,6.275
706,-13,-196,98,287,554,1.112,1.068,364,31.284,6.211
706.5,22,-141,97,291,591,1.108,1.066,377,31.028,5.935
707,0.08,-104,47,0.19,482,1.002,785,-1,30.655,5.513
707.5,226,37,-54,84,323,832,441,-577,30.287,5.143
708,291,279,-114,-0.12,153,452,7,-1.129,30.012,4.829
708.5,386,348,-146,-168,101,234,-329,-1.59,29.89,4.708
709,409,306,-134,-165,63,-14,-634,-1.946,29.755,4.736
709.5,419,259,-75,-159,46,-203,-896,-2.003,29.624,4.847
710,304,236,23,-0.16,28,-398,-1.098,-2.086,29.467,4.964
710.5,316,285,63,-157,-22,-585,-1.228,-2.06,29.305,5.096
711,333,361,-69,-211,-109,-726,-1.332,-1.984,29.138,5.126
711.5,247,317,-107,-269,-157,-672,-1.218,-1.798,29.222,5.091
712,201,236,-219,-419,-286,-0.63,-1.081,-1.807,29.315,5.023
712.5,165,146,-286,-428,-247,-386,-732,-1.559,29.571,5.043
713,-16,-95,-0.15,-318,-85,46,-209,-1.083,30.029,5.334
713.5,-97,-297,-129,-0.14,76,484,339,-615,30.496,5.651
714,-168,-391,-126,18,194,0.88,889,-41,30.927,6.094
714.5,-23,-259,-105,39,236,1.162,1.188,358,31.195,6.369
715,0.09,-64,-94,56,278,1.394,1.382,503,31.317,6.546
715.5,259,194,-152,24,161,1.314,1.177,443,31.298,6.5
716,284,338,-304,-111,19,1.005,797,0.11,31.185,6.249
716.5,254,359,-301,-153,58,693,356,-245,31.244,6.019
717,239,259,-238,-0.21,-15,315,-0.08,-716,31.273,5.705
717.5,0.19,79,-191,-181,36,77,-424,-946,31.297,5.468
718,87,-122,-76,-102,98,-1,-499,-983,31.329,5.452
718.5,-8,-225,-43,-103,116,-37,-479,-1.029,31.246,5.513
719,3,-279,-66,-208,85,-115,-374,-1.074,31.061,5.621
719.5,147,-181,-117,-314,-3,-252,-0.4,-1.181,30.775,5.644
720,167,-207,-0.07,-266,81,-92,-329,-1.109,30.483,5.787
720.5,168,-0.16,-7,-181,131,-16,-373,-1.092,30.209,5.849
721,149,-0.04,-88,-149,0.21,2,-394,-1.108,29.937,5.831
721.5,186,86,-24,5,348,161,-364,-1.078,29.917,5.787
722,231,197,27,84,348,364,-288,-977,29.955,5.68
722.5,0.23,239,-11,137,0.4,618,-128,-756,30.066,5.627
723,136,224,-56,128,371,792,124,-508,30.282,5.55
723.5,114,0.25,-64,52,0.28,861,295,-384,30.466,5.567
