wavelength (nm),29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023
291.5,13.369,15.768,21.562,17.908,18.724,47.539,53.397,42.207,47.911,8.512
292,13.304,15.73,21.485,17.872,18.684,47.2,52.874,41.863,47.818,8.588
292.5,13.283,15.724,21.369,17.799,18.621,46.765,52.271,41.354,47.673,8.574
293,13.151,15.683,21.254,17.712,18.517,46.272,51.62,40.751,47.481,8.479
293.5,13.126,15.736,21.192,17.586,18.454,45.796,50.944,40.21,47.25,8.374
294,13.098,15.754,21.116,17.486,18.345,45.283,50.324,39.667,46.959,8.211
294.5,13.051,15.813,20.982,17.391,18.275,44.84,49.822,39.211,46.781,8.138
295,13.011,15.813,20.873,17.295,18.152,44.351,49.273,38.756,46.528,8.035
295.5,12.979,15.714,20.803,17.195,18.084,44.021,48.832,38.424,46.344,7.969
296,12.941,15.622,20.74,17.116,17.969,43.597,48.514,38.077,46.115,7.925
296.5,12.97,15.594,20.675,17.082,17.859,43.258,48.206,37.821,46.005,7.888
297,12.963,15.515,20.593,17.072,17.767,42.979,47.937,37.57,45.917,7.875
297.5,12.904,15.421,20.569,17.079,17.713,42.762,47.75,37.41,45.892,7.904
298,12.886,15.401,20.559,17.069,17.677,42.612,47.567,37.251,45.874,7.923
298.5,12.902,15.371,20.503,17.006,17.621,42.473,47.368,37.155,45.852,7.975
299,12.889,15.334,20.418,16.949,17.538,42.295,47.147,37.008,45.873,8.017
299.5,12.824,15.306,20.368,16.92,17.509,42.141,46.892,36.807,45.883,08.05
300,12.879,15.348,20.308,16.86,17.453,41.835,46.562,36.575,45.771,7.982
300.5,12.862,15.321,20.234,16.771,17.381,41.532,46.211,36.312,45.624,7.872
301,12.852,15.309,20.208,16.696,17.314,41.213,45.894,35.987,45.494,7.764
301.5,12.893,15.307,20.132,16.647,17.313,41.053,45.697,35.774,45.416,7.671
302,12.865,15.262,20.123,16.599,17.351,40.987,45.499,35.619,45.38,7.682
302.5,12.812,15.201,20.204,16.604,17.376,41.003,45.49,35.672,45.411,7.784
303,12.792,15.16,20.258,16.629,17.44,41.137,45.543,35.692,45.452,7.857
303.5,12.652,15.07,20.299,16.669,17.471,41.133,45.537,35.702,45.458,7.928
304,12.564,15.031,20.368,16.73,17.491,41.107,45.488,35.699,45.482,08.01
304.5,12.531,15.011,20.36,16.721,17.453,40.954,45.248,35.509,45.414,7.974
305,12.681,15.118,20.275,16.638,17.34,40.612,44.922,35.228,45.233,7.84
305.5,12.742,15.199,20.214,16.566,17.192,40.253,44.609,34.928,45.067,7.718
306,12.828,15.254,20.194,16.508,17.118,40.009,44.359,34.709,44.93,7.65
306.5,12.886,15.237,20.131,16.456,17.087,39.809,44.16,34.533,44.814,7.561
